rebalance_date,strategy,ticker,selected,cluster_label,trailing_pe,market_cap,available_date,value_rank,size_rank,sharpe_rank,base_score,adjusted_score
2016-01-01,Partitioning Selection,BF-B,True,0,12.1523383808975,8287894775.772095,2015-12-31,0.8571428571428571,0.4,0.5333333333333333,0.6952380952380952,0.6952380952380952
2016-01-01,Partitioning Selection,CMG,True,1,0.5658373760271403,299306470.09806824,2015-12-31,1.0,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.5333333333333333
2016-01-01,Partitioning Selection,DPZ,True,2,34.142442752003504,6079505783.75,2015-12-31,0.21428571428571427,0.3333333333333333,0.6666666666666666,0.44047619047619047,0.44047619047619047
2016-01-01,Partitioning Selection,KDP,True,3,24.149165120366412,17604741372.747116,2015-12-31,0.6428571428571429,0.4666666666666667,1.0,0.8214285714285714,0.8214285714285714
2016-01-01,Partitioning Selection,KO,False,4,27.14009272518088,186832398320.1452,2015-12-31,0.42857142857142855,0.8666666666666667,0.26666666666666666,0.3476190476190476,0.3476190476190476
2016-01-01,Partitioning Selection,MCD,True,4,24.539580764777856,108479670728.777,2015-12-31,0.5,0.6,0.4666666666666667,0.48333333333333334,0.48333333333333334
2016-01-01,Partitioning Selection,META,True,5,106.03759887217628,298071690429.6875,2015-12-31,0.07142857142857142,0.9333333333333333,0.8,0.4357142857142857,0.4357142857142857
2016-01-01,Partitioning Selection,MNST,True,0,9.436931519673443,5032923191.93528,2015-12-31,0.9285714285714286,0.26666666666666666,0.7333333333333333,0.8309523809523809,0.8309523809523809
2016-01-01,Partitioning Selection,MO,True,3,27.304102503721136,114131148465.55437,2015-12-31,0.35714285714285715,0.6666666666666666,0.9333333333333333,0.6452380952380953,0.6452380952380953
2016-01-01,Partitioning Selection,MSFT,True,5,36.10929829840981,443169418016.38354,2015-12-31,0.14285714285714285,1.0,0.6,0.37142857142857144,0.37142857142857144
2016-01-01,Partitioning Selection,PEP,False,4,28.89984652973328,145568526970.26654,2015-12-31,0.2857142857142857,0.8,0.4,0.34285714285714286,0.34285714285714286
2016-01-01,Partitioning Selection,PM,True,4,18.822359068703744,136198590221.14027,2015-12-31,0.7142857142857143,0.7333333333333333,0.2,0.4571428571428572,0.4571428571428572
2016-01-01,Partitioning Selection,TTWO,True,2,,2948244533.432354,2015-12-31,0.0,0.2,0.8666666666666667,0.43333333333333335,0.43333333333333335
2016-01-01,Partitioning Selection,UVV,True,0,12.66710937546,1273994525.4368896,2015-12-31,0.7857142857142857,0.13333333333333333,0.3333333333333333,0.5595238095238095,0.5411127609198959
2016-01-01,Partitioning Selection,YUM,False,4,24.29952838629039,22647160456.022644,2015-12-31,0.5714285714285714,0.5333333333333333,0.13333333333333333,0.35238095238095235,0.35238095238095235
2016-01-01,Density Selection,BF-B,True,-1,12.1523383808975,8287894775.772095,2015-12-31,0.8571428571428571,0.4,0.5333333333333333,0.6952380952380952,0.6235885458251793
2016-01-01,Density Selection,CMG,True,-1,0.5658373760271403,299306470.09806824,2015-12-31,1.0,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.5420326848604622
2016-01-01,Density Selection,DPZ,True,-1,34.142442752003504,6079505783.75,2015-12-31,0.21428571428571427,0.3333333333333333,0.6666666666666666,0.44047619047619047,0.40788061273565573
2016-01-01,Density Selection,KDP,True,-1,24.149165120366412,17604741372.747116,2015-12-31,0.6428571428571429,0.4666666666666667,1.0,0.8214285714285714,0.7604385242664636
2016-01-01,Density Selection,KO,False,0,27.14009272518088,186832398320.1452,2015-12-31,0.42857142857142855,0.8666666666666667,0.26666666666666666,0.3476190476190476,0.3476190476190476
2016-01-01,Density Selection,MCD,True,-1,24.539580764777856,108479670728.777,2015-12-31,0.5,0.6,0.4666666666666667,0.48333333333333334,0.44748510550086334
2016-01-01,Density Selection,META,True,-1,106.03759887217628,298071690429.6875,2015-12-31,0.07142857142857142,0.9333333333333333,0.8,0.4357142857142857,0.4067672078871926
2016-01-01,Density Selection,MNST,True,-1,9.436931519673443,5032923191.93528,2015-12-31,0.9285714285714286,0.26666666666666666,0.7333333333333333,0.8309523809523809,0.7674199601417632
2016-01-01,Density Selection,MO,True,-1,27.304102503721136,114131148465.55437,2015-12-31,0.35714285714285715,0.6666666666666666,0.9333333333333333,0.6452380952380953,0.5722613738526986
2016-01-01,Density Selection,MSFT,True,0,36.10929829840981,443169418016.38354,2015-12-31,0.14285714285714285,1.0,0.6,0.37142857142857144,0.37142857142857144
2016-01-01,Density Selection,PEP,False,0,28.89984652973328,145568526970.26654,2015-12-31,0.2857142857142857,0.8,0.4,0.34285714285714286,0.34285714285714286
2016-01-01,Density Selection,PM,True,-1,18.822359068703744,136198590221.14027,2015-12-31,0.7142857142857143,0.7333333333333333,0.2,0.4571428571428572,0.41018449242428234
2016-01-01,Density Selection,TTWO,True,-1,,2948244533.432354,2015-12-31,0.0,0.2,0.8666666666666667,0.43333333333333335,0.39259608306784377
2016-01-01,Density Selection,UVV,True,-1,12.66710937546,1273994525.4368896,2015-12-31,0.7857142857142857,0.13333333333333333,0.3333333333333333,0.5595238095238095,0.5348447417297665
2016-01-01,Density Selection,YUM,False,-1,24.29952838629039,22647160456.022644,2015-12-31,0.5714285714285714,0.5333333333333333,0.13333333333333333,0.35238095238095235,0.35238095238095235
2017-01-01,Partitioning Selection,BF-B,True,0,6.74839190402126,7106056674.934387,2016-12-30,0.8235294117647058,0.29411764705882354,0.17647058823529413,0.5,0.5
2017-01-01,Partitioning Selection,CMG,False,0,2.919170439070969,218461958.1487541,2016-12-30,0.9411764705882353,0.058823529411764705,0.058823529411764705,0.5,0.5
2017-01-01,Partitioning Selection,DPZ,True,1,37.40071449695655,7656075860.384994,2016-12-30,0.29411764705882354,0.35294117647058826,0.8235294117647058,0.5588235294117647,0.5588235294117647
2017-01-01,Partitioning Selection,GOOGL,True,2,1.431995600292861,27305292106.38428,2016-12-30,1.0,0.5294117647058824,0.6470588235294118,0.8235294117647058,0.8235294117647058
2017-01-01,Partitioning Selection,KDP,False,2,19.212747244241665,16657451860.757524,2016-12-30,0.7058823529411765,0.47058823529411764,0.5882352941176471,0.6470588235294118,0.6470588235294118
2017-01-01,Partitioning Selection,KO,False,4,24.78725997209977,178815293438.72772,2016-12-30,0.47058823529411764,0.8235294117647058,0.11764705882352941,0.29411764705882354,0.29411764705882354
2017-01-01,Partitioning Selection,MCD,True,2,21.509926859780208,101081599292.16512,2016-12-30,0.6470588235294118,0.5882352941176471,0.7647058823529411,0.7058823529411764,0.7058823529411764
2017-01-01,Partitioning Selection,META,True,3,44.63570974013385,333875108856.2012,2016-12-30,0.17647058823529413,0.8823529411764706,0.7058823529411765,0.44117647058823534,0.44117647058823534
2017-01-01,Partitioning Selection,MNST,True,0,6.219052495490857,4219502737.140637,2016-12-30,0.8823529411764706,0.17647058823529413,0.23529411764705882,0.5588235294117647,0.5588235294117647
2017-01-01,Partitioning Selection,MO,True,2,31.54959629782262,131877312524.89856,2016-12-30,0.35294117647058826,0.6470588235294118,0.9411764705882353,0.6470588235294118,0.5719328180431956
2017-01-01,Partitioning Selection,MSFT,True,3,29.130608669145225,483160275386.4427,2016-12-30,0.4117647058823529,0.9411764705882353,0.5294117647058824,0.47058823529411764,0.47058823529411764
2017-01-01,Partitioning Selection,PEP,True,4,22.595780139511884,150058575906.4984,2016-12-30,0.5294117647058824,0.7647058823529411,0.29411764705882354,0.4117647058823529,0.4117647058823529
2017-01-01,Partitioning Selection,PM,True,4,21.81906197110824,141932998122.05908,2016-12-30,0.5882352941176471,0.7058823529411765,0.4117647058823529,0.5,0.5
2017-01-01,Partitioning Selection,QSR,False,1,39.82771654411199,11107950144.152834,2016-12-30,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.29411764705882354
2017-01-01,Partitioning Selection,TTWO,True,1,2305.001677027735,4266558104.178337,2016-12-30,0.11764705882352941,0.23529411764705882,1.0,0.5588235294117647,0.5588235294117647
2017-01-01,Partitioning Selection,UVV,True,5,14.891187062990834,1452456603.75,2016-12-30,0.7647058823529411,0.11764705882352941,0.8823529411764706,0.8235294117647058,0.8235294117647058
2017-01-01,Partitioning Selection,YUM,False,3,14285469.99608922,2.324245968363716e+16,2016-12-30,0.058823529411764705,1.0,0.47058823529411764,0.2647058823529412,0.2647058823529412
2017-01-01,Density Selection,BF-B,True,-1,6.74839190402126,7106056674.934387,2016-12-30,0.8235294117647058,0.29411764705882354,0.17647058823529413,0.5,0.4332977479079271
2017-01-01,Density Selection,CMG,True,-1,2.919170439070969,218461958.1487541,2016-12-30,0.9411764705882353,0.058823529411764705,0.058823529411764705,0.5,0.5137303001050315
2017-01-01,Density Selection,DPZ,True,-1,37.40071449695655,7656075860.384994,2016-12-30,0.29411764705882354,0.35294117647058826,0.8235294117647058,0.5588235294117647,0.5217532086311245
